category,rarity,cardName,topEffectPro,effectPro
動員,N,問合対応の基本,体1,体験+2。
教務,N,質問対応の基本,入1,入塾+2、経理-1。
庶務,N,経理精算の基本,経1,経理+2。
応対,N,生徒面談の基本,満1,満足+2。
動員,N,問合対応の基本,体1,体験+2。
教務,N,質問対応の基本,入1,入塾+2、経理-1。
庶務,N,経理精算の基本,経1,経理+2。
応対,N,生徒面談の基本,満1,満足+2。
動員,R,チラシ折り,🤹体2,[並行🤹]体験+2。
教務,R,宿題チェック,入2🤹,入塾+2。
庶務,R,提出書類ファイリング,経2🤹,[並行🤹]経理+2。
応対,R,日々の出迎え,満2🤹,[並行🤹]満足+2。
動員,R,元塾生に講習案内,"体1, <長>体2",体験+1。〈室長〉さらに体験+2。
教務,R,日々の授業,[長講]入3,【室長・講師】入塾+3。
庶務,R,備品注文,"[事]経2, 満1",【事務】経理+2、満足+1。
応対,R,休み時間トーク,"🤹,💡, <講事>満2",[並行🤹][発想💡]〈講師・事務〉さらに満足+2。
動員,R,校門前ビラ配り,"体1, 満1",体験+1、満足+1。
教務,R,褒めて励ます授業,"[長講]入2, 満1",【室長・講師】入塾+2、満足+1。
庶務,R,振込用紙印刷,"経1, 入1",経理+1、入塾+1。
応対,R,保護者面談,"満1, 体1",満足+1、体験+1。
動員,SR,進学相談フェア出展,"[長講]体3, <長>入1",【室長・講師】体験+3。〈室長〉さらに入塾+1。
教務,SR,苦手発見！質問対応,"[長講]入2, <講>満2",【室長・講師】入塾+2。〈講師〉さらに満足+2。
庶務,SR,締切間近の書類リマインド,"経1, <事>🗑️満2",経理+2。〈事務〉[整理🗑️]さらに満足+2。
応対,SR,教室清掃,"満2, <事>経2✊",満足+2。〈事務〉さらに経理+2。
動員,SR,保護者説明会,[長]体5,【室長】体験+5。
教務,SR,テスト予想問題的中！,"[長講]✊入4, 経-1","【室長・講師】[情熱✊]入塾+4, 経理-1。"
庶務,SR,ごほうび差し入れスイーツ,"[長事]✊<長>体1, 入1, 満1",[情熱✊]〈室長〉さらに体験+1、入塾+1、満足+1。
応対,SR,笑顔伝わる教室通信,"満3, 入1",満足+3、入塾+1。
動員,SR,兄弟紹介,"体2, <満7+>入2",体験+2。〈満足7以上〉さらに入塾+2。
教務,SR,できるまで居残り！,💤入6,[疲労💤]入塾+6。
庶務,SR,未入金家庭へ電話,"[事]経5, <満10->[!]満-2",【事務】経理+5。〈満足10以下〉満足-2。
応対,SR,スタンプ帳キャンペーン,"[長]満3, 体2, 入1, [!]経-1",【室長】満足+3、体験+2、入塾+1、経理-1。
動員,SR,友人紹介,"[長講]<満10+>体3, 入3, [!]経-1",【室長・講師】〈満足10以上〉体験+3、入塾+3、経理-1。
教務,SR,補習大会,"[長講]<入12->入4, 満2",【室長・講師】〈入塾15以下〉入塾+4、満足+2。
庶務,SR,機材故障は本部に相談,"経3, <満10->満2",経理+3。〈満足10以下〉さらに満足+2。
応対,SR,私も載ったよ！成績UP掲示,<入8+>満6,〈入塾8以上〉満足+6。
動員,SR,人気の秘密は？他塾研究,💡体3,[発想💡]体験+3。
教務,SR,設問の急所は？教材研究,💡<長講>,[発想💡]〈室長・講師〉さらに入塾+3。
庶務,SR,入塾手続きのご案内,"[長事]経3, 入2",【室長・事務】経理+3、入塾+2。
応対,SR,季節のデコレーション,✊🗑️満2,[情熱✊][整理🗑️]満足+2。
動員,SSR,努力の結晶 合格実績掲示,"体7, [!]経-1",体験+7、経理-1。
教務,SSR,迅速返却！模擬試験,"[長講]入6, [!]経-2",【室長・講師】入塾+6、経理-2。
応対,SSR,赤字覚悟！？ 大抽選会,"体2, 満6, [!]経-1",体験+2、満足+6、経理-1。
教務,SSR,入塾後の未来へ 進路説明会,"[長]体1, 入3, 満2",【室長】体験+1、入塾+3、満足+2。
動員,SSR,テレビCM放映,"[長]体5, 入1, 満5, [!]経-4",【室長】体験+5、入塾+1、満足+5、経理-4。
庶務,SSR,事務リーダー1日派遣,[事]🤹<経13->経=14,【事務】[並行🤹]〈経理13以下〉経理を14にする。
動員,SSR,今だけ！体験生特典,"[長]体7, 入3, [!]経-2",【室長】体験+7、入塾+3、経理-2。
教務,SSR,プロジェクター授業,"[長講]入7, [!]経-2",【室長・講師】入塾+7、経理-2。
応対,SSR,卒業生からの手紙,<満15+>🤹✊✊💡,〈満足15以上〉[並行🤹][情熱✊][情熱✊][発想💡]
